,category_id,views,likes,dislikes,comment_count,country,category
362322,24,0.0020338376849635144,0.0011140350424051187,0.0017738053677921163,2927,US,Entertainment
362323,24,0.017300211633191263,0.050979305204809484,0.005650983999247289,31354,US,Entertainment
362324,24,0.004401161971546086,0.00532061283684018,0.0008272616918195695,1593,US,Entertainment
362327,10,0.0014363233871241379,0.006772741660902625,0.00031157276895131086,4850,US,Music
362328,24,0.004528528423415344,0.0022029535288493928,0.0007773894829280231,1065,US,Entertainment
362330,24,0.0025923590799281373,0.0042968905169325665,0.001096160302647186,5063,US,Entertainment
362333,24,0.0018157021433106014,0.009114815971350738,0.0002524459233582403,5511,US,Entertainment
362334,10,0.02951395525584417,0.10962735403139427,0.011499400248127093,80024,US,Music
362336,24,0.014574444250730961,0.06329657112696918,0.0032185569861967094,30425,US,Entertainment
362337,24,0.0009984929645828952,0.0018751913801404996,0.0002735259291783785,1257,US,Entertainment
362340,10,0.001120182667876089,0.004651728669230456,0.00012802247437108317,2722,US,Music
362341,24,0.0019062380388581448,0.003943833680660269,0.00019383322424858777,1416,US,Entertainment
362342,1,0.0033469473620190587,0.004134968890206271,0.0004894674522139405,1975,US,Film & Animation
362345,24,0.001847025546864333,0.0027111629909507364,0.0003640157102599473,1017,US,Entertainment
362346,24,0.004165751212442199,0.018756010828263857,0.0028936164086765304,16664,US,Entertainment
362352,24,0.0066762544045003,0.0003473566249904032,0.00046324598155962225,248,US,Entertainment
362355,24,0.0009029045272529216,0.0019457314947539353,0.000872506582360354,2946,US,Entertainment
362356,1,0.011297662443310982,0.05048018045443866,0.002754796858153669,24531,US,Film & Animation
362358,10,0.020642342003161337,0.06074946734197545,0.0028956729946102025,18394,US,Music
362361,24,0.008000938995457412,0.042749625166575315,0.002284866972309613,19096,US,Entertainment
362363,24,0.015216074658147555,0.11458992234709049,0.002407747981846516,120535,US,Entertainment
362364,24,0.0006129663603534749,0.0007932200261960335,0.00020205956798327585,1262,US,Entertainment
362366,10,0.0025025062786075887,0.018373027882761617,0.0005912684559307053,8136,US,Music
362367,10,0.005025036640055475,0.016017593702121566,0.001649896065288377,4607,US,Music
362368,24,0.014736059633843357,0.035377292531458486,0.0026391138993846182,15869,US,Entertainment
362370,24,0.013877261794178315,0.029872313485969554,0.0027033822098118687,16291,US,Entertainment
362373,10,0.004962867998906908,0.02364109189684684,0.0016252170340843128,11348,US,Music
362374,1,0.015897147868429787,0.008874160176293285,0.0009419163576217846,4694,US,Film & Animation
362378,24,0.00559925506925698,0.013744990716671533,0.0004704440323274743,3032,US,Entertainment
362380,24,0.001827927174476481,0.01473736187452873,0.00029152105609800866,4404,US,Entertainment
362382,10,0.0006064157222663243,0.0017656404445666031,0.00021131420468479991,878,US,Music
362384,24,0.0007068235071426157,0.0008669665096555344,0.0001331639392052632,2353,US,Entertainment
362386,10,0.002827753350550684,0.013505403711229434,0.0004976937959486285,4626,US,Music
362390,24,0.0006493069732296197,0.003030374822736789,0.00024473372610697025,1457,US,Entertainment
362391,24,0.002225214776896891,0.0035736762105422915,0.0006884421412967083,2453,US,Entertainment
362393,10,0.00041945989882974063,0.0023769881045497127,8.277758383029876e-05,1001,US,Music
362394,10,0.0026649625742683892,0.009932083763892261,0.00022725274567075808,2160,US,Music
362395,24,0.000681775148487902,0.0017278765448240567,3.599025383926033e-05,412,US,Entertainment
362396,24,0.020908294140703915,0.0008552098238866285,0.00019897468908276783,577,US,Entertainment
362397,1,0.008540303130600821,0.004480187935965964,0.0021717547459576517,4897,US,Film & Animation
362400,24,0.0012897690539683188,0.0031978185291424194,0.0002467903120406422,1289,US,Entertainment
362402,24,0.0021685438665269684,0.003629253270540756,0.0001305932067881732,1028,US,Entertainment
362404,24,0.001206466890734921,0.005961886606053232,0.0001197961306363951,1196,US,Entertainment
362405,24,0.010149838014214933,0.014503296948765967,0.001210300821965983,0,US,Entertainment
362406,25,0.0017190466656881146,0.002570260893326424,0.00087867634016137,1064,US,News & Politics
362411,1,0.0035715581658444196,0.0030439128245312867,0.0005938391883477955,1955,US,Film & Animation
362412,1,0.006923621668073939,0.013620476726482665,0.002944002764051495,17911,US,Film & Animation
362415,10,0.0023022301177445985,0.00953200018454434,0.0009198080588348104,3529,US,Music
362417,24,0.00603555441853082,0.01685463410254716,0.00033265277477144905,6690,US,Entertainment
362421,24,0.00391191810868545,0.004279789883086886,0.0003527044876247512,1628,US,Entertainment
362422,10,0.001976083245819737,0.009815941959023675,0.0005203162412190207,3576,US,Music
362423,10,0.00044741023020051677,0.002035153559238644,6.58107498775046e-05,582,US,Music
362424,10,0.007320171999828661,0.0551433095462329,0.0013522052513893522,24592,US,Music
362425,24,0.0025619613868268507,0.0072948453880035844,0.000544995272423085,2334,US,Entertainment
362426,10,0.0005513559720731765,0.001027641215163916,0.00019177663831491574,2867,US,Music
362429,24,0.0015273610036039228,0.0030252090062625725,0.0003146576478518189,2267,US,Entertainment
362433,24,0.0003393423679925412,0.00034183454531106855,6.683904284434061e-05,247,US,Entertainment
362439,24,0.0034063671377783035,0.004268567592125657,0.0006375416394383258,1849,US,Entertainment
362440,24,0.0022674653325852117,0.009605746668003842,0.0005516791767075191,11451,US,Entertainment
362443,24,0.001520612503740677,0.003734529047653232,9.768783184942089e-05,977,US,Entertainment
362444,10,0.0061489221497413446,0.04279023917195881,0.0015799721435435284,12771,US,Music
362447,24,0.0013370061975137044,0.0007517153627997443,0.0006735318932775861,483,US,Entertainment
362448,24,0.0026500192991785357,0.005037027325565964,0.00027044105027787047,2923,US,Entertainment
362451,24,0.012827722846860203,0.0297451275217423,0.0031481189179684427,14381,US,Entertainment
362452,10,0.03484541147764835,0.07416936788397648,0.0038679239947536494,65578,US,Music
362454,10,0.0007663469247845771,0.003574388736952528,0.00014704589425754933,2176,US,Music
